dataset,experiment,fig4,fig5d,fig5e,fold,individual,f1,precision,recall
HAR,svm,True,False,False,3,17,0.9843563031483128,0.9848707984657489,0.9851752581964238
HAR,svm,True,False,False,4,18,0.8920484901913848,0.9208545412128588,0.9044690147598455
HAR,svm,True,False,False,4,19,0.8008249792369303,0.8316670797183323,0.8053226094184348
HAR,svm,True,False,False,4,20,0.9682464464660394,0.9699805968087163,0.9695711760860166
HAR,svm,True,False,False,4,21,0.975439246143086,0.9765668142333284,0.9748382495928261
HAR,svm,True,False,False,4,22,0.9088784100676897,0.9282194926715577,0.9106209316477418
HAR,svm,True,False,False,4,23,0.9903499582537375,0.9907303835308752,0.9903243961496031
HAR,wavelet_dt,True,False,False,1,0,0.870026873528145,0.8726665085720384,0.8715232976135169
HAR,wavelet_dt,True,False,False,1,1,0.7560206492046376,0.7731110921933961,0.7619962832702899
HAR,wavelet_dt,True,False,False,1,2,0.7952382811366944,0.802429708819982,0.7974041378309864
HAR,wavelet_dt,True,False,False,1,3,0.7593853181824458,0.7772882339791697,0.7652179562425289
HAR,wavelet_dt,True,False,False,1,4,0.8385798806798173,0.8470729530439886,0.8427106617325756
HAR,wavelet_dt,True,False,False,1,5,0.8752372016427729,0.8765466917187811,0.8754502772667839
HAR,wavelet_dt,True,False,False,2,6,0.7522385357224556,0.7805896597727147,0.762941294441168
HAR,wavelet_dt,True,False,False,2,7,0.8236489451483385,0.8255431873375899,0.8236920970177416
HAR,wavelet_dt,True,False,False,2,8,0.8349108953878197,0.8356547256999001,0.8353412359818663
HAR,wavelet_dt,True,False,False,2,9,0.7917743273322403,0.810851796640831,0.7964763224498821
HAR,wavelet_dt,True,False,False,2,10,0.6851081321519708,0.6998627766576263,0.7164116293782503
HAR,wavelet_dt,True,False,False,2,11,0.8177822117399246,0.8261137505000778,0.8172666435789925
HAR,wavelet_dt,True,False,False,3,12,0.8675806960978311,0.868892538202268,0.8671835507643278
HAR,wavelet_dt,True,False,False,3,13,0.7339099336668776,0.7592106660628941,0.7402452487751624
HAR,wavelet_dt,True,False,False,3,14,0.5927884433387031,0.661922951313575,0.6243593020365764
HAR,wavelet_dt,True,False,False,3,15,0.6567258180847325,0.6735619116621736,0.6564712507655677
HAR,wavelet_dt,True,False,False,3,16,0.9082353121426809,0.9089946189306529,0.9081348396724641
HAR,wavelet_dt,True,False,False,3,17,0.8116757632375177,0.817098208679684,0.8110636328430306
HAR,wavelet_dt,True,False,False,4,18,0.8233074624411901,0.8253451883971623,0.8233889585604454
HAR,wavelet_dt,True,False,False,4,19,0.8203459371863788,0.8279568284851063,0.8261348499818365
HAR,wavelet_dt,True,False,False,4,20,0.8318813700101392,0.8415948136543389,0.8372061600860411
HAR,wavelet_dt,True,False,False,4,21,0.7722574250115212,0.7874869877513496,0.7755503249240229
HAR,wavelet_dt,True,False,False,4,22,0.5774476988900972,0.603473668810909,0.5930313094179227
HAR,wavelet_dt,True,False,False,4,23,0.7530302472482173,0.7665836012671701,0.7601672720837077
HAR,wavelet_rf,True,False,False,1,0,0.9333230613779234,0.936355075713812,0.9349250947642117
HAR,wavelet_rf,True,False,False,1,1,0.8235353991966189,0.8470103149674867,0.8305989713910148
HAR,wavelet_rf,True,False,False,1,2,0.9172489627699099,0.9203900299639926,0.9177415568928161
HAR,wavelet_rf,True,False,False,1,3,0.8919219571094913,0.9034406462081405,0.895184224076163
HAR,wavelet_rf,True,False,False,1,4,0.9449610547461232,0.9470519733194029,0.9451457421414006
HAR,wavelet_rf,True,False,False,1,5,0.9567817679392657,0.958196579365104,0.9584549553471571
HAR,wavelet_rf,True,False,False,2,6,0.8504805541230839,0.876881666320982,0.8569458328862297
HAR,wavelet_rf,True,False,False,2,7,0.9239219337930008,0.9257971089175894,0.9257462000490482
HAR,wavelet_rf,True,False,False,2,8,0.9394178928963769,0.9420052312970443,0.9395603882657401
HAR,wavelet_rf,True,False,False,2,9,0.8898308131284675,0.9191542044721825,0.8902228706435905
HAR,wavelet_rf,True,False,False,2,10,0.7956841468113486,0.8399911622185163,0.8162348196512368
HAR,wavelet_rf,True,False,False,2,11,0.9244535427792191,0.935221563406326,0.9230153482169233
HAR,wavelet_rf,True,False,False,3,12,0.982087964629382,0.9832437650846043,0.9815971079543085
HAR,wavelet_rf,True,False,False,3,13,0.9138169986932771,0.9157983531794369,0.9145536206476734
HAR,wavelet_rf,True,False,False,3,14,0.8436171088597885,0.8779457565693036,0.8464153387608967
HAR,wavelet_rf,True,False,False,3,15,0.895685122371649,0.8975846633006377,0.8966304168721214
HAR,wavelet_rf,True,False,False,3,16,0.9781602482738613,0.9790646130392626,0.9779791248963744
HAR,wavelet_rf,True,False,False,3,17,0.9458559499167255,0.9471409248658532,0.946336339018765
HAR,wavelet_rf,True,False,False,4,18,0.9385807231084562,0.9399002587786657,0.9381082417065358
HAR,wavelet_rf,True,False,False,4,19,0.9409767793982762,0.9420245681468932,0.9433564196153165
HAR,wavelet_rf,True,False,False,4,20,0.917591068004057,0.9210290572663106,0.9220522250857859
HAR,wavelet_rf,True,False,False,4,21,0.896281960452512,0.9194041964027987,0.8954488047977193
HAR,wavelet_rf,True,False,False,4,22,0.7744430479935752,0.8320355504752968,0.7795131280396476
HAR,wavelet_rf,True,False,False,4,23,0.9593866219746793,0.9624585249564818,0.9589551563201142
HAR,wavelet_svm,True,False,False,1,0,0.9790840004716793,0.9790130130220743,0.9791902887752267
HAR,wavelet_svm,True,False,False,1,1,0.8592185029270033,0.8802000027958629,0.8669923049040099
HAR,wavelet_svm,True,False,False,1,2,0.9331102441456213,0.9364278448491011,0.9347865353564732
HAR,wavelet_svm,True,False,False,1,3,0.8896770625147177,0.8966760881363677,0.8916316102183011
HAR,wavelet_svm,True,False,False,1,4,0.8968380040581607,0.9172633405135625,0.9015295038045986
HAR,wavelet_svm,True,False,False,1,5,0.89802201496124,0.9073545318893488,0.8991238209423446
HAR,wavelet_svm,True,False,False,2,6,0.8440081523962225,0.8892741879229056,0.8571405709775654
HAR,wavelet_svm,True,False,False,2,7,0.8602097538213686,0.8675323893174061,0.8624459421291589
HAR,wavelet_svm,True,False,False,2,8,0.9565214740962157,0.9576996826219378,0.9583909537999907
HAR,wavelet_svm,True,False,False,2,9,0.9394642231342555,0.9441729415437249,0.9395367686580408
HAR,wavelet_svm,True,False,False,2,10,0.8888940921948699,0.9122539845408859,0.8932769820817085
HAR,wavelet_svm,True,False,False,2,11,0.7436790275014843,0.7562509303903221,0.7543220908156286
HAR,wavelet_svm,True,False,False,3,12,0.9335805738892842,0.937979404394831,0.9338727781178103
HAR,wavelet_svm,True,False,False,3,13,0.8898016796589947,0.8946841648867233,0.892271086171201
HAR,wavelet_svm,True,False,False,3,14,0.8132167475855562,0.8798372075484923,0.8186925271836006
HAR,wavelet_svm,True,False,False,3,15,0.7678768096322769,0.8176362343844888,0.7678793826398543
HAR,wavelet_svm,True,False,False,3,16,0.9797594109444413,0.9800879606410563,0.9798235901705553
HAR,wavelet_svm,True,False,False,3,17,0.9570612823380268,0.9577297623281275,0.9566670845255603
HAR,wavelet_svm,True,False,False,4,18,0.9553477805521565,0.9564614968160021,0.9570947002609658
HAR,wavelet_svm,True,False,False,4,19,0.7608999099286894,0.7698243463120282,0.7648723949818897
HAR,wavelet_svm,True,False,False,4,20,0.9376741574809117,0.9403584388282654,0.9399739700870163
HAR,wavelet_svm,True,False,False,4,21,0.9475426683870007,0.9509958018855604,0.9465548431947001
HAR,wavelet_svm,True,False,False,4,22,0.7814071854397974,0.7859853372773612,0.783215714528561
HAR,wavelet_svm,True,False,False,4,23,0.8982723239960065,0.917838631832608,0.8949013913171253
HAR,harnet_random_nogyr,False,True,False,1,0,0.6479524038971566,0.6889701423563969,0.6695495116862823
HAR,harnet_random_nogyr,False,True,False,1,1,0.5931230608720571,0.5984333387067049,0.6218396716730002
HAR,harnet_random_nogyr,False,True,False,1,2,0.5558236078880038,0.551013044679824,0.5897490887203461
HAR,harnet_random_nogyr,False,True,False,1,3,0.5277896128304896,0.5212610260524788,0.5749866761102077
HAR,harnet_random_nogyr,False,True,False,1,4,0.6673309924096872,0.670528357867863,0.7091073228638475
HAR,harnet_random_nogyr,False,True,False,1,5,0.5807729845707078,0.5952378549416435,0.6187964886658358
HAR,harnet_random_nogyr,False,True,False,2,6,0.46076497612588524,0.5081100297177737,0.5053522116818389
HAR,harnet_random_nogyr,False,True,False,2,7,0.5718789921777688,0.5933964150097818,0.6082910026736382
HAR,harnet_random_nogyr,False,True,False,2,8,0.540176888993739,0.5604995535936509,0.5828122239351704
HAR,harnet_random_nogyr,False,True,False,2,9,0.5607756584728256,0.5774823065494786,0.6160925160051633
HAR,harnet_random_nogyr,False,True,False,2,10,0.5297122830085795,0.6105017203508317,0.6060961828097241
HAR,harnet_random_nogyr,False,True,False,2,11,0.493329893474132,0.4906281335535479,0.5862417442707656
HAR,harnet_random_nogyr,False,True,False,3,12,0.5418003132082422,0.6114669763428219,0.5571107474377945
HAR,harnet_random_nogyr,False,True,False,3,13,0.5780916144322565,0.578893173064138,0.5955924467495249
HAR,harnet_random_nogyr,False,True,False,3,14,0.47803659362338397,0.544729337783446,0.49330778355151783
HAR,harnet_random_nogyr,False,True,False,3,15,0.4953689343683376,0.5184313501529058,0.5305639874922468
HAR,harnet_random_nogyr,False,True,False,3,16,0.46831624761296226,0.532617793633545,0.5073740759205073
HAR,harnet_random_nogyr,False,True,False,3,17,0.5540962217509983,0.5564894180136895,0.5875964235703042
HAR,harnet_random_nogyr,False,True,False,4,18,0.6035632870424386,0.61858530810533,0.6282914611677878
HAR,harnet_random_nogyr,False,True,False,4,19,0.39999705667688734,0.4396805622296165,0.44946848189551897
HAR,harnet_random_nogyr,False,True,False,4,20,0.6080391924509938,0.6363338297692432,0.653653153614747
HAR,harnet_random_nogyr,False,True,False,4,21,0.4873286676556659,0.48105222870529213,0.5355270990924156
HAR,harnet_random_nogyr,False,True,False,4,22,0.5812370131244607,0.5867284062088037,0.5961016236967944
HAR,harnet_random_nogyr,False,True,False,4,23,0.5945928938843402,0.5934861980293621,0.6319768442551901
HAR,harnet_unfrozen_nogyr,False,True,False,1,0,0.6593516675779054,0.7334579331452556,0.671044459621967
HAR,harnet_unfrozen_nogyr,False,True,False,1,1,0.8282333373794022,0.8482584744360463,0.8303816803650784
HAR,harnet_unfrozen_nogyr,False,True,False,1,2,0.7898475739897259,0.8151357477858494,0.810290391974108
HAR,harnet_unfrozen_nogyr,False,True,False,1,3,0.7011988024801363,0.7359675522062878,0.7193288102053984
HAR,harnet_unfrozen_nogyr,False,True,False,1,4,0.7286307845121769,0.7721460914075643,0.7641235294146268
HAR,harnet_unfrozen_nogyr,False,True,False,1,5,0.6610953920455487,0.6814193537136054,0.6984589341243752
HAR,harnet_unfrozen_nogyr,False,True,False,2,6,0.7164933525601834,0.7421500499144619,0.7275839981905584
HAR,harnet_unfrozen_nogyr,False,True,False,2,7,0.8555835863168757,0.8756086672334416,0.8548370057179738
HAR,harnet_unfrozen_nogyr,False,True,False,2,8,0.6184533862067877,0.6516236050170794,0.6215564493854976
HAR,harnet_unfrozen_nogyr,False,True,False,2,9,0.7198339885774535,0.7478840350191689,0.7365619387839807
HAR,harnet_unfrozen_nogyr,False,True,False,2,10,0.7103130559284955,0.7529525863474276,0.7311460184991659
HAR,harnet_unfrozen_nogyr,False,True,False,2,11,0.6870080133126585,0.726165357926777,0.7261983845314998
HAR,harnet_unfrozen_nogyr,False,True,False,3,12,0.7594341384849576,0.7739791389073485,0.7611121670909852
HAR,harnet_unfrozen_nogyr,False,True,False,3,13,0.7533294560807468,0.7774790336453511,0.7672925312517856
HAR,harnet_unfrozen_nogyr,False,True,False,3,14,0.6752862278052554,0.7216659208974799,0.6805388867339786
HAR,harnet_unfrozen_nogyr,False,True,False,3,15,0.6774871366211525,0.6867458831007537,0.7273246503505962
HAR,harnet_unfrozen_nogyr,False,True,False,3,16,0.6945067999357093,0.7357087215629302,0.710944264888791
HAR,harnet_unfrozen_nogyr,False,True,False,3,17,0.7239219858343157,0.7714818617427137,0.7597978778717822
HAR,harnet_unfrozen_nogyr,False,True,False,4,18,0.6862115329169489,0.763926568447045,0.6905348043968199
HAR,harnet_unfrozen_nogyr,False,True,False,4,19,0.6890330691121451,0.7405408394421903,0.69422913996056
HAR,harnet_unfrozen_nogyr,False,True,False,4,20,0.7501733311559784,0.7940563655335318,0.773605851848739
HAR,harnet_unfrozen_nogyr,False,True,False,4,21,0.7301412407960343,0.7757523122217785,0.7615809044227427
HAR,harnet_unfrozen_nogyr,False,True,False,4,22,0.7358867868555019,0.7339240230324086,0.7540017631359067
HAR,harnet_unfrozen_nogyr,False,True,False,4,23,0.6696897069546481,0.7185023150936202,0.6942687695046846
HAR,RNN_nogyr,False,True,False,1,0,0.9559888812153251,0.966456721769771,0.9542049194896696
HAR,RNN_nogyr,False,True,False,1,1,0.9394608400681497,0.9400523995391502,0.9402366090472364
HAR,RNN_nogyr,False,True,False,1,2,0.9866893299797712,0.9883471657072561,0.9860421541299145
HAR,RNN_nogyr,False,True,False,1,3,0.9997151226298012,0.999687833335861,0.9997426095796764
HAR,RNN_nogyr,False,True,False,1,4,0.9993210500347293,0.9992546778583745,0.9993888339447331
HAR,RNN_nogyr,False,True,False,1,5,0.9895175965196921,0.9906818741174477,0.9889653770042314
