dataset,experiment,fig4,fig5d,fig5e,f1_mean,f1_std,prec_mean,prec_std,rec_mean,rec_std
jeantet_turtles,wavelet_rf,True,False,False,0.5445601229050141,0.07945261557814393,0.7624115037698549,0.0814720071019964,0.5622663450622425,0.11726491956254544
jeantet_turtles,wavelet_svm,True,False,False,0.5454259403577961,0.1034899904242686,0.5397925544920785,0.10434510197055695,0.7005380230243942,0.11048152557473839
jeantet_turtles,harnet_random_nogyr,False,True,False,0.3755385046169319,0.10096410665837272,0.45222284020137854,0.0756517275945846,0.5531989699045623,0.15979531628627294
jeantet_turtles,harnet_unfrozen_nogyr,False,True,False,0.48871813609728965,0.08252937896005264,0.5231846741843256,0.06609841950807543,0.6667019299796609,0.11503609898512372
jeantet_turtles,RNN_nogyr,False,True,False,0.4826806916531895,0.05532583832739531,0.48198645300430676,0.04783342518599206,0.6829078206691677,0.10942527452801493
jeantet_turtles,CRNN_nogyr,False,True,False,0.6941656143139739,0.09034626321658376,0.6697926712326763,0.08326016171384916,0.8181349591251035,0.09233356265673061
jeantet_turtles,rf_nogyr,False,True,False,0.5790749945883137,0.09759040287701208,0.7689997900959331,0.0855589717781841,0.5967546453996287,0.1466431738296027
jeantet_turtles,harnet_low_data_nogyr,False,False,True,0.6627648662542789,0.07839388360017653,0.6622373955756163,0.08146712144737903,0.7696698359681559,0.10231547875576438
jeantet_turtles,harnet_random_low_data_nogyr,False,False,True,0.32997274581428154,0.03187777116716994,0.39818364938267264,0.030404908946047447,0.5208407398686962,0.15967540724155696
jeantet_turtles,harnet_unfrozen_low_data_nogyr,False,False,True,0.41801542434531735,0.06059261587146651,0.4666842656506292,0.04772691612583159,0.6047930957978868,0.13389433928107816
jeantet_turtles,RNN_low_data_nogyr,False,False,True,0.1796821213840867,0.21393655350643964,0.6567076323829496,0.23372663188243362,0.39684359156557386,0.2913524373415277
jeantet_turtles,wavelet_RNN_low_data_nogyr,False,False,True,0.5959233338972836,0.11593823907531706,0.6044049646100672,0.1019821723961067,0.7274417629794608,0.1524643294455591
